,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7,170.31,31.6,94,100,12.62,RU,1602105445
1,bluff,-46.6,168.33,46,76,97,4,NZ,1602105731
2,sitka,57.05,-135.33,50,76,20,4.7,US,1602105753
3,fortuna,40.6,-124.16,55.4,93,75,8.05,US,1602105729
4,saint-pierre,-21.34,55.48,71.6,83,4,5.82,RE,1602105779
5,ushuaia,-54.8,-68.3,42.8,56,75,13.87,AR,1602105726
6,namatanai,-3.67,152.43,81.05,76,99,4.61,PG,1602105755
7,nancha,47.13,129.27,37.53,78,85,2.08,CN,1602105885
8,avarua,-21.21,-159.78,80.6,61,30,18.34,CK,1602105509
9,kapaa,22.08,-159.32,86,66,40,9.17,US,1602105710
10,oktyabrskiy,54.48,53.47,39.99,87,10,4.32,RU,1602105885
11,bengkulu,-3.8,102.27,75.43,88,97,3.89,ID,1602105751
12,victoria,22.29,114.16,73.99,69,38,11.01,HK,1602105722
13,viedma,-40.81,-63,60.01,33,70,10.36,AR,1602105885
14,aklavik,68.22,-135.01,33.8,89,90,3.36,CA,1602105744
15,sentyabrskiy,,,,,,,,
16,umzimvubu,,,,,,,,
17,saskylakh,71.92,114.08,9.66,94,36,8.37,RU,1602105742
18,banjar,-8.19,114.97,78.8,100,40,9.17,ID,1602105755
19,lebu,-37.62,-73.65,51.91,70,100,12.28,CL,1602105506
20,cape town,-33.93,18.42,60.01,82,10,11.41,ZA,1602105600
21,kaeo,-35.1,173.78,60.01,71,75,4,NZ,1602105778
22,keti bandar,24.14,67.45,80.55,77,0,11.52,PK,1602105886
23,sur,22.57,59.53,79.21,53,0,9.01,OM,1602105771
24,livanatai,38.72,23.05,77,54,100,8.01,GR,1602105886
25,bredasdorp,-34.53,20.04,55.4,87,95,3.36,ZA,1602105741
26,thompson,55.74,-97.86,35.6,64,75,12.75,CA,1602105726
27,berlevag,70.86,29.09,46.4,87,75,1.12,NO,1602105747
28,rikitea,-23.12,-134.97,73.99,78,100,9.84,PF,1602105726
29,new norfolk,-42.78,147.06,52,84,100,1.99,AU,1602105726
30,hobart,-42.88,147.33,53.6,76,75,8.05,AU,1602105528
31,provideniya,64.38,-173.3,41,86,90,4.47,RU,1602105741
32,maldonado,-34.67,-54.92,68,60,0,4.7,UY,1602105887
33,cabo san lucas,22.89,-109.91,91.4,55,40,10.29,MX,1602105750
34,sibu,2.3,111.82,77,94,40,2.24,MY,1602105669
35,nikolskoye,59.7,30.79,55.4,93,90,2.24,RU,1602105744
36,klaksvik,62.23,-6.59,46.4,93,100,19.46,FO,1602105748
37,auki,-8.77,160.7,80.8,79,89,3.6,SB,1602105887
38,grand river south east,,,,,,,,
39,constitucion,-35.33,-72.42,56.59,61,0,18.63,CL,1602105748
40,vaini,-21.2,-175.2,74.86,89,94,19.82,TO,1602105733
41,east london,-33.02,27.91,68.94,85,0,6.24,ZA,1602105747
42,kodiak,57.79,-152.41,46.4,75,90,10.29,US,1602105521
43,bara,10.37,10.73,74.05,87,37,6.17,NG,1602105887
44,busselton,-33.65,115.33,51.01,88,1,6.93,AU,1602105725
45,arraial do cabo,-22.97,-42.03,77,83,75,11.41,BR,1602105662
46,te anau,-45.42,167.72,40.19,78,54,3.87,NZ,1602105774
47,rio gallegos,-51.62,-69.22,53.6,27,40,10.29,AR,1602105888
48,sao filipe,14.9,-24.5,79.95,78,52,8.84,CV,1602105735
49,mataura,-46.19,168.86,46,76,91,4,NZ,1602105726
50,bakloh,32.47,75.92,61.23,38,0,7.31,IN,1602105888
51,hermanus,-34.42,19.23,57.99,92,63,5.48,ZA,1602105528
52,hofn,64.25,-15.21,46.42,77,100,4.23,IS,1602105756
53,teknaf,20.86,92.31,77.95,89,12,4.21,BD,1602105888
54,belushya guba,,,,,,,,
55,kaoma,-14.78,24.8,71.06,46,7,3.22,ZM,1602105888
56,broken hill,-31.95,141.43,48.2,81,90,16.11,AU,1602105888
57,zhigansk,66.77,123.37,31.87,93,100,19.6,RU,1602105739
58,kaitangata,-46.28,169.85,46.99,62,95,4,NZ,1602105750
59,kavieng,-2.57,150.8,83.1,69,98,6.49,PG,1602105744
60,guerrero negro,27.98,-114.06,88.14,35,70,15.35,MX,1602105753
61,tiksi,71.69,128.87,18.07,95,0,14.56,RU,1602105735
62,georgetown,5.41,100.34,77,100,40,2.24,MY,1602105752
63,sao miguel do araguaia,-13.28,-50.16,95.76,16,0,0.65,BR,1602105889
64,albany,42.6,-73.97,64.99,81,75,4.7,US,1602105728
65,taolanaro,,,,,,,,
66,khamgaon,20.68,76.57,76.06,58,100,4.03,IN,1602105889
67,kapit,2.02,112.93,75.22,94,100,0.43,MY,1602105773
68,north bend,43.41,-124.22,62.6,77,90,6.93,US,1602105771
69,ahipara,-35.17,173.17,58.03,66,100,10.38,NZ,1602105889
70,thinadhoo,0.53,72.93,81.43,77,100,13.2,MV,1602105751
71,tazovskiy,67.47,78.7,36.32,97,100,18.75,RU,1602105889
72,codrington,-38.27,141.97,52.3,94,99,14.32,AU,1602105753
73,lalmohan,22.34,90.74,80.91,82,92,1.95,BD,1602105890
74,port alfred,-33.59,26.89,65.84,83,0,2.15,ZA,1602105750
75,abu dhabi,24.47,54.37,87.8,79,0,4.7,AE,1602105701
76,bambous virieux,-20.34,57.76,73.99,88,20,11.41,MU,1602105732
77,faanui,-16.48,-151.75,78.37,80,3,20.33,PF,1602105743
78,chicama,-7.84,-79.15,73.56,54,3,9.82,PE,1602105890
79,moose factory,51.26,-80.61,39.2,60,90,10.29,CA,1602105761
80,tuktoyaktuk,69.45,-133.04,33.8,97,90,2.24,CA,1602105739
81,severo-kurilsk,50.68,156.12,46.31,74,55,25.05,RU,1602105453
82,yar-sale,66.83,70.83,32.72,96,100,19.39,RU,1602105890
83,walvis bay,-22.96,14.51,57.2,82,98,3.36,NA,1602105744
84,havelock,34.88,-76.9,79,69,1,10.29,US,1602105849
85,kawalu,-7.38,108.21,70.14,87,86,1.03,ID,1602105891
86,alamogordo,32.9,-105.96,87.8,8,1,8.68,US,1602105891
87,fort-shevchenko,44.51,50.26,55.67,35,0,11.43,KZ,1602105891
88,vostok,46.49,135.88,31.57,99,17,4.63,RU,1602105891
