City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rosarito,32.33,-117.03,73.4,28,1,8.05,MX,1603930483
san ramon,37.78,-121.98,75,26,0,1.01,US,1603930484
ushuaia,-54.8,-68.3,39.27,86,51,4.81,AR,1603930037
saskylakh,71.92,114.08,2.7,90,97,9.93,RU,1603930327
kruisfontein,-34,24.73,61,93,67,3.04,ZA,1603930487
conceicao do araguaia,-8.26,-49.26,80.51,70,66,0.81,BR,1603930488
hobart,-42.88,147.33,66,56,21,2.73,AU,1603930337
codrington,-38.27,141.97,57.99,70,70,8.99,AU,1603930236
new norfolk,-42.78,147.06,66,37,5,2.13,AU,1603930491
tiksi,71.69,128.87,-0.04,89,99,15.52,RU,1603930492
busselton,-33.65,115.33,60.01,70,0,10,AU,1603930201
mataura,-46.19,168.86,57.99,76,96,4,NZ,1603930494
lavrentiya,65.58,-171,27.34,86,98,3.2,RU,1603930207
albany,42.6,-73.97,46.99,89,59,3.2,US,1603930203
jamestown,42.1,-79.24,45,89,64,1.01,US,1603930498
bajil,15.06,43.29,81.32,58,0,4.5,YE,1603930499
kodiak,57.79,-152.41,40.62,69,59,4.45,US,1603930500
airai,-8.93,125.41,71.11,62,89,2.71,TL,1603930210
ambilobe,-13.2,49.05,72.01,80,0,4.5,MG,1603930502
saint-philippe,-21.36,55.77,69.8,64,0,5.82,RE,1603930504
georgetown,5.41,100.34,78.01,94,100,3,MY,1603930452
clyde river,70.47,-68.59,15.57,90,98,6.15,CA,1603930507
wenzhou,28,120.67,69.01,64,100,2.55,CN,1603930508
jibuti,11.5,42.5,71.24,75,0,12.24,DJ,1603930510
grand gaube,-20.01,57.66,71.01,75,46,5.99,MU,1603930511
mitsamiouli,-11.38,43.28,78.17,75,35,7.56,KM,1603930512
shaowu,27.34,117.48,67.5,79,100,2.35,CN,1603930513
kargil,34.57,76.1,28.09,81,22,4.97,IN,1603930515
punta arenas,-53.15,-70.92,46,70,89,18.99,CL,1603930516
saint george,37.1,-113.58,71.6,12,1,5.82,US,1603930404
kavieng,-2.57,150.8,84.87,65,100,4.34,PG,1603930518
taolanaro,,,,,,,,
nantucket,41.28,-70.1,55.99,94,82,11.99,US,1603930473
hermanus,-34.42,19.23,63,68,87,10.87,ZA,1603930507
port moresby,-9.44,147.18,80.6,83,75,5.82,PG,1603930523
flinders,-34.58,150.86,66,81,96,1.99,AU,1603930524
rikitea,-23.12,-134.97,75,82,76,11.7,PF,1603930520
qaanaaq,77.48,-69.36,7.52,73,9,11.21,GL,1603930527
deputatskiy,69.3,139.9,-5.35,91,86,1.45,RU,1603930528
kapaa,22.08,-159.32,79,70,34,11.32,US,1603930527
halifax,44.65,-63.57,37,88,17,6.22,CA,1603930297
nanortalik,60.14,-45.24,32.47,93,100,13,GL,1603930531
ibra,22.69,58.53,62.46,44,0,4.07,OM,1603930533
